,Model,Accuracy,Bal Acc.,Time
1,Random Forest,84.89878542510122,80.6247636864193,1.7742571830749512
2,Extra Trees,82.8744939271255,75.79355145123752,0.6051375865936279
3,CatBoost,80.60728744939271,75.13027343686464,29.10718560218811
4,LightGBM,80.04048582995952,77.45839717397108,1.0551762580871582
5,Skl HistGBM,79.95951417004049,76.83244588278245,8.390546798706055
6,XGBoost,78.94736842105263,72.79845776533621,4.377326011657715
7,AdaBoost,76.80161943319838,72.8701249337196,1.5408384799957275
8,Skl GBM,76.80161943319838,66.64556753920334,13.431089162826538
9,SVM,63.238866396761125,39.823276603059995,1.5258784294128418
10,Decision Tree,61.45748987854252,53.93488592763418,0.2566719055175781
